,Country.Name,New.Name
1,Netherlands Antilles (former),Netherlands
2,China (Tibet),China
3,China (P.R.C.),China
4,"China (Hong Kong, S.A.R., P.R.C.)",China
5,"China (Macau, S.A.R., P.R.C.)",China
6,Congo (Kinshasa),Democratic Republic of the Congo
7,Congo (Brazzaville),Congo-Brazzaville
8,Cabo Verde,Cape Verde
9,"Micronesia, Federated States of",Micronesia
10,French Guiana,France
11,British Indian Ocean Territory,United Kingdom
12,"Kiribati, Republic of",Kiribati
13,"Korea, Republic of",South Korea
14,Yugoslavia (former),Montenegro
15,Burma (Myanmar),Myanmar
16,"Berlin, West",Germany
17,Czechoslovakia (former),Czech Republic
18,Martinique,France
19,New Caledonia,France
20,"Korea, Democratic Republic of",North Korea
21,West Bank and Gaza,Occupied Palestinian Territory
22,French Polynesia,France
23,Germany (former East),Germany
24,Soviet Union (former),Russia
25,Vietnam (former South),Vietnam
26,Yemen (former P.D.R.),Yemen
27,Serbia and Montenegro (former),Serbia
28,British Virgin Islands,United Kingdom
29,Sudan (former),Sudan
30,Cote d'Ivoire,Ivory Coast
